"SUM of lower,Sum of val,SUM of upper"
"5617075.345,6060602.35,6408052.388"
"5708669.732,6131765.81,6496866.471"
"5793946.729,6233799.16,6594902.065"
"5939166.466,6410947.78,6780715.402"
"6021183.249,6504838.31,6879573.526"
"6069771.228,6531942.06,6911914.998"
"6089200.413,6565869.10,6930236.375"
"6134644.28,6618226.83,6973418.587"
"6169685.11,6668012.34,7015474.606"
"6294596.875,6810148.93,7186014.834"
"6400405.749,6902256.77,7256712.648"
"6489746.605,6998142.69,7349319.806"
"6593458.14,7139988.03,7506435.828"
"6630155.822,7220071.75,7593256.098"
"6625290.979,7208096.12,7581350.801"
"6714029.648,7305647.42,7675699.589"
"6692121.738,7300784.56,7672529.581"
"6669361.95,7332694.78,7712064.908"
"6764388.56,7430121.48,7826884.225"
"6839295.77,7478332.93,7878738.498"
"6936228.362,7595969.69,7997119.904"
"6956790.835,7689626.89,8124956.455"
"7065137.827,7767644.67,8181289.652"
"7141116.138,7881961.84,8319724.618"
"7243502.559,8007580.71,8484453.393"
"7415690.378,8193649.80,8691427.336"
"7515425.619,8340451.50,8895681.636"
"7611154.37,8488770.64,9101099.136"
"7763603.321,8716559.31,9393574.886"
"7923894.764,8936530.27,9705357.939"
",,"